Rep Name,PDRs,Leads,Total Leads,Appts,Shows,Enrols,Cancel Enrollment,Starts,CMEs,NMEs,FMEs,PMEs,App Set,Show Rate,(Show To Enrollment),(Enrollment to Start Rate),(Lead to start)
Rep 1,0,10,10,17,15,24,0,18,10,2,1,2,170.00%,88.24%,160.00%,75.00%,180.00%
Rep 2,0,2,2,3,3,0,0,0,2,0,0,3,150.00%,100.00%,0.00%,0.00%,0.00%
Rep 3,0,26,26,16,5,3,0,0,1,0,0,2,61.54%,31.25%,60.00%,0.00%,0.00%
Rep 4,0,1,1,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 5,0,9,9,11,9,0,0,0,8,1,0,1,122.22%,81.82%,0.00%,0.00%,0.00%
Rep 6,0,201,201,63,24,5,1,0,3,1,0,1,31.34%,38.10%,20.83%,0.00%,0.00%
Rep 7,0,7,7,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 8,0,1,1,1,1,1,0,1,1,0,0,0,100.00%,100.00%,100.00%,100.00%,100.00%
Rep 9,0,2,2,0,0,0,0,0,2,0,0,1,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 10,0,1,1,0,0,0,0,0,2,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 11,0,203,203,52,18,19,2,11,6,0,0,1,25.62%,34.62%,105.56%,57.89%,5.42%
Rep 12,0,6,6,6,6,1,0,0,6,0,0,1,100.00%,100.00%,16.67%,0.00%,0.00%
Rep 13,0,0,0,0,0,1,0,1,0,0,0,0,0.00%,0.00%,0.00%,100.00%,0.00%
Rep 14,0,29,29,24,9,2,0,0,2,0,0,0,82.76%,37.50%,22.22%,0.00%,0.00%
Rep 15,0,51,51,0,0,5,0,5,0,0,0,0,0.00%,0.00%,0.00%,100.00%,9.80%
Rep 16,0,3,3,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 17,0,2,2,1,0,3,0,3,1,0,0,0,50.00%,0.00%,0.00%,100.00%,150.00%
Rep 18,0,259,259,123,57,45,0,29,28,4,0,6,47.49%,46.34%,78.95%,64.44%,11.20%
Rep 19,0,0,0,0,0,0,0,0,3,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 20,0,3,3,2,2,0,0,0,5,0,0,2,66.67%,100.00%,0.00%,0.00%,0.00%
Total,0,816,816,319,149,109,3,68,80,8,1,20,39.09%,46.71%,73.15%,62.39%,8.33%
,,,,,,,,,,,,,,,,,
Region Total,,,,,,,,,,,,,39.76%,60.25%,65.70%,80.72%,12.71%
,,,,,,,,,,,,,,,,,
Territory Total,,,,,,,,,,,,,38.16%,60.57%,67.08%,83.27%,12.91%
,,,,,,,,,,,,,,,,,
National Total,,,,,,,,,,,,,38.07%,64.74%,56.23%,84.51%,11.71%
