Rep Name,PDRs,Leads,Total Leads,Appts,Shows,Enrols,Cancel Enrollment,Starts,CMEs,NMEs,FMEs,PMEs,App Set,Show Rate,(Show To Enrollment),(Enrollment to Start Rate),(Lead to start)
Goals,3/week,25/week,,,,,,,,,,,60%,70%,55%,90%,19%
Rep 1 ,0,12,12,11,11,12,1,10,10,4,0,0,91.67%,100.00%,109.09%,83.33%,83.33%
Rep 2,0,46,46,9,36,0,0,0,11,0,0,3,19.57%,400.00%,0.00%,0.00%,0.00%
Rep 3,0,314,314,76,28,10,2,3,4,1,1,0,24.20%,36.84%,35.71%,30.00%,0.96%
Rep 4,0,0,0,0,0,1,1,0,1,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 5,0,0,0,1,1,1,0,0,0,1,0,0,0.00%,100.00%,100.00%,0.00%,0.00%
Rep 6,0,40,40,11,3,0,0,0,0,2,0,0,27.50%,27.27%,0.00%,0.00%,0.00%
Rep 7,0,3,3,3,0,1,0,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%
Rep 8,0,158,158,50,22,6,0,4,3,1,1,1,31.65%,44.00%,27.27%,66.67%,2.53%
Rep 9,0,204,204,1,10,14,1,40,0,0,0,0,0.49%,1000.00%,140.00%,285.71%,19.61%
Rep 10,0,2,2,1,1,1,0,1,1,0,0,0,50.00%,100.00%,100.00%,100.00%,50.00%
Rep 11,0,11,11,3,2,4,0,1,1,1,0,0,27.27%,66.67%,200.00%,25.00%,9.09%
Rep 12,0,169,169,104,63,39,6,34,28,8,1,1,61.54%,60.58%,61.90%,87.18%,20.12%
Rep 13,0,1,1,0,0,1,0,1,0,0,0,1,0.00%,0.00%,0.00%,100.00%,100.00%
Rep 14,0,6,6,4,6,0,0,0,1,2,0,1,66.67%,150.00%,0.00%,0.00%,0.00%
Total,0,966,966,274,183,90,11,94,60,20,3,7,28.36%,66.79%,49.18%,104.44%,9.73%
,,,,,,,,,,,,,,,,,
Region Total,,,,,,,,,,,,,32.02%,73.42%,48.52%,91.37%,10.42%
,,,,,,,,,,,,,,,,,
Territory Total,,,,,,,,,,,,,31.33%,73.62%,49.18%,89.52%,10.16%
,,,,,,,,,,,,,,,,,
National Total,,,,,,,,,,,,,35.02%,74.03%,57.67%,73.22%,10.95%
