Rep Name,PDRs,Leads,Total Leads,Appts,Shows,Enrols,Cancel Enrollment,Starts,CMEs,NMEs,FMEs,PMEs,App Set,Show Rate,(Show To Enrollment),(Enrollment to Start Rate),(Lead to start)
Goals,3/week,25/week,,,,,,,,,,,60%,70%,55%,90%,19%
Rep 1,0,1,1,0,0,0,0,0,1,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 2,0,3,3,1,1,3,0,3,3,0,0,0,33.33%,100.00%,300.00%,100.00%,100.00%
Rep 3,0,1,1,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 4,0,2,2,0,0,0,0,0,1,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 5,0,40,40,24,12,4,0,4,0,2,0,2,60.00%,50.00%,33.33%,100.00%,10.00%
Rep 6,0,1,1,0,0,1,0,1,1,0,0,0,0.00%,0.00%,0.00%,100.00%,100.00%
Rep 7,0,0,0,0,0,1,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 8,0,59,59,24,10,8,0,8,4,0,0,4,40.68%,41.67%,80.00%,100.00%,13.56%
Rep 9,0,19,19,6,4,2,0,2,0,0,0,2,31.58%,66.67%,50.00%,100.00%,10.53%
Rep 10,0,62,62,1,28,5,1,27,2,0,0,0,1.61%,2800.00%,17.86%,540.00%,43.55%
Rep 11,0,3,3,1,1,2,0,2,2,0,0,0,33.33%,100.00%,200.00%,100.00%,66.67%
Rep 12,0,41,41,14,10,10,1,7,3,3,0,1,34.15%,71.43%,100.00%,70.00%,17.07%
Rep 13,0,1,1,0,0,0,0,0,2,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 14,0,82,82,61,40,30,3,9,8,19,1,1,74.39%,65.57%,75.00%,30.00%,10.98%
Total,0,315,315,132,106,66,5,63,27,26,1,10,41.90%,80.30%,62.26%,95.45%,20.00%
,,,,,,,,,,,,,,,,,
Region Total,,,,,,,,,,,,,38.65%,64.12%,67.84%,90.26%,15.17%
,,,,,,,,,,,,,,,,,
Territory Total,,,,,,,,,,,,,36.32%,65.04%,68.33%,90.24%,14.57%
,,,,,,,,,,,,,,,,,
National Total,,,,,,,,,,,,,32.83%,68.84%,66.91%,80.21%,12.13%
