Rep Name,PDRs,Leads,Total Leads,Appts,Shows,Enrols,Cancel Enrollment,Starts,CMEs,NMEs,FMEs,PMEs,App Set,Show Rate,(Show To Enrollment),(Enrollment to Start Rate),(Lead to start)
Goals,3/week,25/week,,,,,,,,,,,60%,70%,55%,90%,19%
Rep 1,0,5,5,5,4,2,0,2,2,0,0,0,100.00%,80.00%,50.00%,100.00%,40.00%
Rep 2,0,22,22,14,14,0,0,0,13,0,0,0,63.64%,100.00%,0.00%,0.00%,0.00%
Rep 3,0,107,107,43,16,1,0,0,1,0,0,0,40.19%,37.21%,6.25%,0.00%,0.00%
Rep 4,0,3,3,1,1,0,0,0,0,0,0,0,33.33%,100.00%,0.00%,0.00%,0.00%
Rep 5,0,1,1,1,1,0,0,0,1,0,0,0,100.00%,100.00%,0.00%,0.00%,0.00%
Rep 6,0,110,110,52,21,2,0,1,1,0,0,0,47.27%,40.38%,9.52%,50.00%,0.91%
Rep 7,0,113,113,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 8,0,0,0,1,1,1,0,1,1,0,0,0,0.00%,100.00%,100.00%,100.00%,0.00%
Rep 9,0,101,101,52,16,0,0,0,0,0,0,0,51.49%,30.77%,0.00%,0.00%,0.00%
Rep 10,0,1,1,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 11,0,1,1,4,3,1,0,1,0,0,0,0,400.00%,75.00%,33.33%,100.00%,100.00%
Rep 12,0,110,110,43,9,0,0,0,0,0,0,0,39.09%,20.93%,0.00%,0.00%,0.00%
Rep 13,0,75,75,0,0,21,0,13,8,0,0,0,0.00%,0.00%,0.00%,61.90%,17.33%
Rep 14,0,24,24,0,0,3,0,0,3,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 15,0,4,4,2,2,0,0,1,0,0,0,0,50.00%,100.00%,0.00%,0.00%,25.00%
Rep 16,0,116,116,75,29,1,0,0,1,0,1,0,64.66%,38.67%,3.45%,0.00%,0.00%
Rep 17,0,1,1,0,0,0,0,0,1,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 18,0,3,3,4,4,0,0,0,0,0,0,0,133.33%,100.00%,0.00%,0.00%,0.00%
Total,0,797,797,297,121,32,0,19,32,0,1,0,37.26%,40.74%,26.45%,59.38%,2.38%
,,,,,,,,,,,,,,,,,
Region Total,,,,,,,,,,,,,37.20%,57.66%,42.72%,85.19%,7.81%
,,,,,,,,,,,,,,,,,
Territory Total,,,,,,,,,,,,,36.13%,59.73%,44.57%,85.26%,8.20%
,,,,,,,,,,,,,,,,,
National Total,,,,,,,,,,,,,36.60%,66.07%,47.91%,96.41%,11.17%
