Rep Name,PDRs,Leads,Total Leads,Appts,Shows,Enrols,Cancel Enrollment,Starts,CMEs,NMEs,FMEs,PMEs,App Set,Show Rate,(Show To Enrollment),(Enrollment to Start Rate),(Lead to start)
Goals,3/week,25/week,,,,,,,,,,,60%,70%,55%,90%,19%
Rep 1,0,19,19,18,15,17,1,16,14,5,0,0,94.74%,83.33%,113.33%,94.12%,84.21%
Rep 2,0,74,74,68,69,0,0,0,60,1,0,5,91.89%,101.47%,0.00%,0.00%,0.00%
Rep 3,0,2,2,6,1,0,0,0,0,0,0,0,300.00%,16.67%,0.00%,0.00%,0.00%
Rep 4,0,20,20,19,15,0,0,0,15,4,3,0,95.00%,78.95%,0.00%,0.00%,0.00%
Rep 5,0,224,224,57,18,0,0,0,0,0,0,0,25.45%,31.58%,0.00%,0.00%,0.00%
Rep 6,0,0,0,0,0,0,0,0,1,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 7,0,226,226,59,24,14,3,10,0,0,0,0,26.11%,40.68%,58.33%,71.43%,4.42%
Rep 8,0,1,1,1,1,0,0,0,0,0,0,0,100.00%,100.00%,0.00%,0.00%,0.00%
Rep 9,0,1,1,0,0,1,0,1,0,0,0,0,0.00%,0.00%,0.00%,100.00%,100.00%
Rep 10,0,6,6,8,1,1,1,0,1,0,0,0,133.33%,12.50%,100.00%,0.00%,0.00%
Rep 11,0,82,82,18,2,68,4,65,1,0,0,0,21.95%,11.11%,3400.00%,95.59%,79.27%
Rep 12,0,2,2,2,2,2,1,1,2,0,0,0,100.00%,100.00%,100.00%,50.00%,50.00%
Rep 13,0,5,5,5,3,7,0,5,2,0,0,0,100.00%,60.00%,233.33%,71.43%,100.00%
Rep 14,0,1,1,1,1,1,0,1,1,0,0,0,100.00%,100.00%,100.00%,100.00%,100.00%
Rep 15,0,270,270,132,70,42,2,31,30,4,1,1,48.89%,53.03%,60.00%,73.81%,11.48%
Rep 16,0,1,1,1,1,0,0,0,2,0,0,0,100.00%,100.00%,0.00%,0.00%,0.00%
Total,0,934,934,395,223,153,12,130,129,14,4,6,42.29%,56.46%,68.61%,84.97%,13.92%
,,,,,,,,,,,,,,,,,
Region Total,,,,,,,,,,,,,39.41%,63.44%,65.70%,90.44%,14.85%
,,,,,,,,,,,,,,,,,
Territory Total,,,,,,,,,,,,,38.49%,64.01%,66.38%,89.81%,14.69%
,,,,,,,,,,,,,,,,,
National Total,,,,,,,,,,,,,37.81%,69.06%,61.20%,80.70%,12.90%
