Rep Name,PDRs,Leads,Total Leads,Appts,Shows,Enrols,Cancel Enrollment,Starts,CMEs,NMEs,FMEs,PMEs,App Set,Show Rate,(Show To Enrollment),(Enrollment to Start Rate),(Lead to start)
Goals,3/week,25/week,,,,,,,,,,,60%,70%,55%,90%,19%
Rep 1,0,2,2,0,3,0,0,0,2,0,0,6,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 2,0,0,0,1,1,0,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%
Rep 3,0,45,45,42,65,51,3,67,43,0,0,8,93.33%,154.76%,78.46%,131.37%,148.89%
Rep 4,0,1,1,0,0,0,0,0,1,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 5,0,81,81,32,22,8,0,6,5,1,0,2,39.51%,68.75%,36.36%,75.00%,7.41%
Rep 6,0,7,7,6,6,6,0,6,6,0,0,0,85.71%,100.00%,100.00%,100.00%,85.71%
Rep 7,0,0,0,1,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 8,0,0,0,1,1,0,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%
Rep 9,0,108,108,42,27,19,2,12,14,0,0,5,38.89%,64.29%,70.37%,63.16%,11.11%
Rep 10,0,79,79,28,19,10,0,12,6,0,0,4,35.44%,67.86%,52.63%,120.00%,15.19%
Rep 11,0,164,164,52,24,62,1,34,25,27,0,2,31.71%,46.15%,258.33%,54.84%,20.73%
Rep 12,0,7,7,8,13,13,0,13,7,0,0,6,114.29%,162.50%,100.00%,100.00%,185.71%
Rep 13,0,124,124,59,30,22,1,20,17,3,1,0,47.58%,50.85%,73.33%,90.91%,16.13%
Rep 14,0,0,0,0,0,0,0,0,1,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 15,0,157,157,92,52,25,0,22,17,1,6,0,58.60%,56.52%,48.08%,88.00%,14.01%
Rep 16,0,0,0,0,0,1,0,1,1,0,0,0,0.00%,0.00%,0.00%,100.00%,0.00%
Total,0,775,775,364,263,217,7,193,145,32,7,33,46.97%,72.25%,82.51%,88.94%,24.90%
,,,,,,,,,,,,,,,,,
Region Total,,,,,,,,,,,,,42.35%,67.68%,75.68%,89.88%,19.50%
,,,,,,,,,,,,,,,,,
Territory Total,,,,,,,,,,,,,41.14%,68.26%,76.43%,89.44%,19.20%
,,,,,,,,,,,,,,,,,
National Total,,,,,,,,,,,,,38.82%,68.98%,67.99%,83.62%,15.22%
