Rep Name,PDRs,Leads,Total Leads,Appts,Shows,Enrols,Cancel Enrollment,Starts,CMEs,NMEs,FMEs,PMEs,App Set,Show Rate,(Show To Enrollment),(Enrollment to Start Rate),(Lead to start)
Goals,3/week,25/week,,,,,,,,,,,60%,70%,55%,90%,19%
Rep 1,0,3,3,3,4,7,1,9,6,1,0,0,100.00%,133.33%,175.00%,128.57%,300.00%
Rep 2,0,13,13,13,1,0,0,0,6,0,0,3,100.00%,7.69%,0.00%,0.00%,0.00%
Rep 3,0,1,1,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 4,0,225,225,85,36,8,0,2,1,1,3,0,37.78%,42.35%,22.22%,25.00%,0.89%
Rep 5,0,7,7,5,1,1,0,0,1,0,0,0,71.43%,20.00%,100.00%,0.00%,0.00%
Rep 6,0,1,1,1,0,0,0,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%
Rep 7,0,74,74,26,13,4,0,3,4,0,0,0,35.14%,50.00%,30.77%,75.00%,4.05%
Rep 8,0,111,111,42,16,6,0,8,5,0,0,1,37.84%,38.10%,37.50%,133.33%,7.21%
Rep 9,0,183,183,5,1,10,0,3,1,0,0,0,2.73%,20.00%,1000.00%,30.00%,1.64%
Rep 10,0,3,3,1,0,0,0,0,0,0,0,0,33.33%,0.00%,0.00%,0.00%,0.00%
Rep 11,0,141,141,43,20,5,0,7,3,0,1,1,30.50%,46.51%,25.00%,140.00%,4.96%
Rep 12,0,189,189,109,56,47,6,44,33,11,1,0,57.67%,51.38%,83.93%,93.62%,23.28%
Rep 13,0,2,2,1,0,0,0,0,0,0,0,0,50.00%,0.00%,0.00%,0.00%,0.00%
Rep 14,0,1,1,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
Rep 15,0,0,0,0,0,1,0,1,0,0,0,1,0.00%,0.00%,0.00%,100.00%,0.00%
Rep 16,0,3,3,3,3,0,0,0,3,1,1,0,100.00%,100.00%,0.00%,0.00%,0.00%
Total,0,957,957,337,151,89,7,77,63,14,6,6,35.21%,44.81%,58.94%,86.52%,8.05%
,,,,,,,,,,,,,,,,,
Region Total,,,,,,,,,,,,,34.60%,59.22%,63.54%,94.42%,12.29%
,,,,,,,,,,,,,,,,,
Territory Total,,,,,,,,,,,,,33.41%,60.14%,66.03%,95.68%,12.70%
,,,,,,,,,,,,,,,,,
National Total,,,,,,,,,,,,,33.99%,67.62%,63.85%,100.65%,14.77%
